Date	Time	Temp	Wind_dir	Wind_spd	EF_NH3	EF_CH4	EF_N2O
20161101	11	13.175	270.071123	2.13421436	0.637835662	9.33421737	0.131559781
20161101	12	12.1	297.395484	2.63644205	1.02584536	10.1165648	0.177928407
20161101	13	11.8916667	313.649201	3.60263786	1.53675587	11.2723845	0.148454667
20161101	14	11.8333333	313.996482	2.99472423	2.53052989	9.85414053	0.362100238
20161101	15	11.1666667	308.843507	2.94726638	1.54322496	11.6214976	0.130858759
20161101	16	9.83333333	303.352501	2.41992045	2.04698366	11.1975853	0.173575304
20161101	17	8.83333333	289.908789	1.94384865	1.80627311	11.2764272	0.153164097
20161101	18	8.58333333	282.792735	2.06357468	1.73765227	11.3647437	0.238938403
20161101	19	8.25	286.804659	2.08805473	1.12756468	10.8325463	0.244117216
20161101	20	8.66666667	287.187226	2.42002524	1.36897158	9.82411379	0.278598795
20161101	21	8.16666667	281.915738	2.40838032	1.19798994	9.654866	0.187540304
20161101	22	7.5	281.137397	2.1811361	1.33951672	8.33884584	0.389434925
20161101	23	7.33333333	268.684596	2.1079264	1.25378657	8.58642314	0.289951754
20161102	0	7.16666667	267.983937	2.32896522	1.15801378	7.83490543	0.238851554
20161102	1	7.08333333	267.011781	2.29722245	0.999244228	7.35558112	0.616229532
20161102	2	7.41666667	269.966049	2.49721032	0.563384308	7.63087216	0.249248019
20161102	3	7.33333333	261.145181	2.38606731	0.618450971	7.76147824	0.224751215
20161102	4	7.5	259.677305	2.43273329	0.706187589	7.69335791	0.269467351
20161102	5	7.5	258.731856	2.34479987	0.561728166	7.58076399	0.317547354
20161102	6	7.33333333	267.725589	3.07395772	0.683491003	8.29858776	0.248387408
20161102	7	7.41666667	274.948425	2.89998722	0.763285073	8.09915059	0.647232515
20161102	8	7.16666667	301.686264	3.16997727	0.837255102	9.15187774	0.560491484
20161102	9	7.41666667	309.041008	3.23800833	0.446772569	10.296644	-0.081180791
20161102	10	8.58333333	318.455514	2.80016698	0.262049315	9.93941555	0.424212241
20161102	11	9.41666667	320.106659	3.71348561	0.428758564	11.4019065	0.198310144
20161102	12	9.25	325.766169	4.92930995	0.408380553	12.6843393	0.23610609
20161102	13	8.16666667	329.107619	5.23992956	0.409834156	12.5014975	0.104256457
20161102	14	7.75	331.975431	5.25774628	0.254386409	10.8495001	1.29425161
20161102	15	6.5	333.664032	5.42773276	0.136291869	13.5210903	0.924556576
20161102	16	7	332.879636	4.47762169	0.049337614	11.8934945	1.00406757
20161102	17	6.41666667	332.820461	4.98983576	0.147150211	13.4249902	0.598929474
20161102	18	6.66666667	334.841229	5.17683738	0.135342072	11.9210474	0.918113484
20161102	19	6.75	338.206009	5.04999121	0.106287813	10.938668	1.08152926
20161102	20	6.66666667	334.275589	4.23565555	0.096797771	10.5453552	1.108084
20161102	21	6	339.357815	5.35524941	0.333864787	10.5590409	0.754940817
20161102	22	5.5	339.430681	4.69418251	0.100828688	6.73092271	2.05196012
20161102	23	5.5	338.979449	4.02614469	4.42E-17	7.93048509	0.405445005
20161103	0	4.83333333	338.179215	3.49111174	0.270881767	9.04149538	0.17227196
20161103	1	5.16666667	333.386611	3.15319353	0.089259311	8.68962066	0
20161103	2	5.75	333.821795	3.06397835	0.242728184	8.07677919	0
20161103	3	5.5	334.575103	2.69633168	0.155660334	8.60526681	0
20161103	4	6.08333333	333.85835	2.28008036	0.255533908	8.11998435	0
20161103	5	6.83333333	324.132036	1.45427954	0.270784692	8.61981745	0
20161103	6	6.83333333	324.161255	0.623401899	0.504903465	8.15482211	0
20161103	7	4.83333333	217.620382	1.17860152	0.537370424	9.98511833	-0.07490412
20161103	8	6.25	269.868195	1.17425075	0.444928647	11.8914291	0
20161103	9	6.66666667	274.139385	1.69110121	0.306940917	11.7154366	0
20161103	10	6.91666667	288.760123	1.71150105	0.231194579	12.0575248	0.588128817
20161103	11	8.66666667	281.920383	1.74124695	0.16063412	11.1700998	0.326905779
20161103	12	8.41666667	278.904521	1.64543693	0.334058995	12.6143968	0.309019076
20161103	13	8.41666667	282.908155	1.12535111	0.190543048	13.1910043	0.053857403
20161103	14	7.91666667	237.130009	0.675006225	0.203787227	13.8273242	0
20161103	15	7.41666667	164.27197	0.363077366	0.269138227	13.5858541	-0.0253575
20161103	16	6.33333333	162.516174	0.569927632	0.394141779	14.3803717	0.054197039
20161103	17	4.91666667	161.018031	0.724156837	0.410853614	13.8269461	0.200136626
20161103	18	4.66666667	157.61415	1.57641885	0.381036964	13.4071627	0.193861655
20161103	19	5.08333333	160.162805	2.00694767	0.341211097	13.2126693	0.408468928
20161103	20	5.08333333	159.493597	2.79063285	0.443922601	14.0712471	-0.282320281
20161103	21	5	162.250815	2.73487426	0.274448367	10.760001	0.797898062
20161103	22	5.16666667	166.950556	1.67332652	0.237393324	9.64785991	0.805196818
20161103	23	5.58333333	162.026298	1.22667592	0.147820084	9.47385164	0.470043737
20161104	0	5.58333333	189.288146	1.30860053	0.17527779	9.29025741	0.371569839
20161104	1	6.16666667	167.861952	1.27006793	0.165899841	9.20978488	0.237390486
20161104	2	6.25	180.403713	1.44327382	0.261113531	8.61019199	0.346559334
20161104	3	7	186.235941	1.54529003	0.408256735	9.08453265	-2.88E-16
20161104	4	7	172.666087	1.6956236	0.301489777	7.91582066	0.418336702
20161104	5	7.16666667	184.186439	1.67273592	0.438241679	8.46273243	0.2306544
20161104	6	7.25	177.172057	1.87228842	0.340173989	7.90748129	0.247245201
20161104	7	7	170.533663	2.41678926	0.32355591	7.78546459	0.156777901
20161104	8	6.83333333	170.237347	2.86704496	0.353611485	9.14720801	0.359816576
20161104	9	7.66666667	176.951007	3.08894234	0.308632941	8.7563214	0
20161104	10	7.75	178.131933	2.67902724	0.187656963	9.32582933	0
20161104	11	8	176.903236	2.68931304	0.402896427	15.0915126	0
20161104	12	8.41666667	175.10727	2.86088277	0.159011294	9.26703063	0
20161104	13	8.75	175.893095	2.86911138	0.281351678	11.8877631	0
20161104	14	9	180.452208	1.95296477	0.205742391	12.6281509	0.104676355
20161104	15	8.83333333	168.205667	2.31714649	0.182318617	13.1851056	0
20161104	16	7.58333333	164.234138	2.60635416	0.272122729	12.3628582	0.069224469
20161104	17	7	166.86673	2.08014068	0.150435652	11.8557133	0.095672163
20161104	18	6.83333333	164.061007	1.26258841	0.368159864	11.6788992	0
20161104	19	6.5	161.926881	1.05726245	0.351058709	14.0658208	0
20161104	20	5.75	156.549028	1.65896388	0.249175762	11.8775344	0
20161104	21	5.5	157.536148	1.67813537	0.394490667	11.1075157	0
20161104	22	5	154.647739	2.23916323	0.210508482	9.99737551	0
20161104	23	4.5	151.450325	2.4704995	0.255108367	9.7686094	0
20161105	0	3.75	148.880446	2.40457098	0.250983464	8.77625	0
20161105	1	4.08333333	137.386219	1.82191257	0.203095625	8.17775513	0
20161105	2	4.08333333	131.277704	2.03982054	0.253151096	8.88390049	0.225394165
20161105	3	4.41666667	122.903794	1.56733199	0.275106758	9.00507724	0.182565826
20161105	4	4.41666667	131.745642	1.74846252	0.330069476	9.06008514	0.154673039
20161105	5	5.16666667	124.163805	2.0404086	0.395834496	8.87102796	0.230160289
20161105	6	5.33333333	125.859881	2.41110164	0.392356778	8.31778686	0.215806357
20161105	7	5.16666667	128.030379	2.97270256	0.388869186	9.66016494	0.238780241
20161105	8	4.66666667	130.14635	3.13776311	0.475406886	10.9812112	0.368070054
20161105	9	5.08333333	132.150298	3.3162472	0.310874325	11.2170455	0.593117764
20161105	10	5.33333333	137.807408	3.21064152	0.323621814	11.2686001	0.548834422
20161105	11	5.5	138.929248	2.83208847	0.188757437	12.2756787	-0.068596324
20161105	12	5.58333333	141.744157	2.79595541	0.377306477	13.5182813	0
20161105	13	6	142.818285	2.44678748	0.207297174	13.4264806	0
20161105	14	6.41666667	144.183236	2.03602068	0.161546962	12.6315327	0
20161105	15	6.08333333	154.282846	1.90136136	0.241551079	13.1931741	0
20161105	16	6.33333333	156.205726	1.66678502	0.440984898	12.0907714	0.080129142
20161105	17	6.75	171.9902	1.02199757	0.200145073	12.1944631	0
20161105	18	8.08333333	216.90239	1.26110015	0.223916381	12.4808979	0
20161105	19	7.5	217.684131	1.44487272	0.187643389	12.0789584	0
20161105	20	7.83333333	202.642864	1.31819591	0.233818509	11.1573978	0
20161105	21	7.5	206.372674	1.17848524	0.297276317	10.4022843	0
20161105	22	7.66666667	189.57219	0.480318859	0.465561024	11.1590253	0
20161105	23	7.16666667	195.528949	0.663680379	0.467660612	9.78696039	0
20161106	0	6.66666667	232.967254	0.388562369	0.45074602	8.91030283	0
20161106	1	5.41666667	168.769087	0.395573481	0.449068988	8.91708551	0
20161106	2	4.5	156.625705	0.88109255	0.549171944	10.0472248	-0.019676362
20161106	3	5.75	183.680465	0.914757257	0.517964208	8.41510311	0
20161106	4	6.91666667	198.588555	1.05572769	0.444981697	8.31880611	0.138609224
20161106	5	5.91666667	156.359486	1.47300161	0.406272654	8.61456771	-0.022467491
20161106	6	6	159.420118	1.14576502	0.59928047	10.4074355	0
20161106	7	6	158.27593	1.24427593	0.618377525	9.80711904	-0.041396623
20161106	8	6	171.790118	1.40956514	0.566247754	10.1719963	0
20161106	9	6.66666667	180.375028	1.60497886	0.542713874	10.8394742	0
20161106	10	7.25	176.359897	1.44372355	0.401644134	10.954508	0
20161106	11	7.41666667	180.339584	1.20617887	0.408067275	11.8422465	0
20161106	12	8.66666667	175.766955	0.533181299	0.292007429	12.675539	0
20161106	13	10.5	354.652237	0.153509049	0.68219584	14.503332	0
20161106	14	9.66666667	320.534892	0.051086266	0.860076306	10.9707643	0.066300661
20161106	15	9.16666667	331.426829	0.290399107	0.699688759	12.6704758	0.055622401
20161106	16	8.58333333	343.578841	0.267223382	0.703011726	11.6394519	0
20161106	17	8.41666667	342.169367	0.25604109	0.788100327	12.6495064	0
20161106	18	8.33333333	350.002142	1.0526501	0.767498936	12.0971953	0
20161106	19	7.16666667	347.879233	1.67518466	0.945525285	10.9475577	-0.058665679
20161106	20	7.25	6.58477654	0.145937726	0.641661527	10.7681864	0
20161106	21	7	77.7702382	0.094414229	0.420463364	10.507954	0
20161106	22	7.08333333	353.509295	0.185447425	0.748466153	8.6113278	0
20161106	23	6.58333333	16.3427738	0.158355523	0.614581477	7.24006201	0
20161107	0	5.66666667	353.479876	0.294129579	0.591636549	5.97915047	0
20161107	1	5.66666667	357.098846	0.249687033	0.403795177	5.77623472	0
20161107	2	5.33333333	345.473543	0.426396198	0.184295188	6.32227977	-0.117205723
20161107	3	5.5	341.745594	0.515574127	0.326903451	6.16291355	-0.138599948
20161107	4	5.25	350.291989	1.53972249	0.283679525	5.31296984	1.15462986
20161107	5	4.33333333	345.927665	0.455359043	0.273866461	6.34799898	0.696680512
20161107	6	4.91666667	347.804471	0.990395863	0.125460904	6.51410011	1.27662462
20161107	7	4.33333333	350.439519	1.27530032	0.403891519	7.34546936	0.711309654
20161107	8	4.16666667	352.235192	1.56123158	0.283544032	11.3043854	1.44259797
20161107	9	4	348.92062	1.53060137	0.310592383	9.07108725	1.58021292
20161107	10	4.91666667	349.011181	1.39378746	0.327324431	5.31097748	1.66534121
20161107	11	5.08333333	345.732724	1.06182839	0.389375193	10.4694596	1.65086607
20161107	12	4.91666667	346.803011	0.627906714	0.250276168	13.1604262	0.363811364
20161107	13	4.75	349.305251	0.401168823	0.359205724	11.6565299	0.548263472
20161107	14	4.83333333	342.478834	0.382756284	0.339245067	8.4138607	1.94173908
20161107	15	4.41666667	349.759402	0.522166028	0.31840752	9.50598616	1.45797687
20161107	16	4.16666667	350.367179	0.160584565	0.464864695	12.9302169	1.35149152
20161107	17	3.83333333	346.279396	0.354555285	0.622743959	11.7883318	1.18813448
20161107	18	4.41666667	339.596433	0.266785224	0.544831849	11.3075916	0.959525357
20161107	19	5	341.477122	0.511565974	0.47669664	12.1175475	0.404217999
20161107	20	5	334.253129	0.25075819	0.568068908	12.2950311	0.361273279
20161107	21	5	334.058074	0.272051575	0.881423639	9.67051899	0.685124804
20161107	22	4.91666667	339.367055	0.185740665	0.784423298	10.5234618	0.122171659
20161107	23	4.41666667	339.092756	0.188136618	1.07921344	9.45860726	0.466196275
20161108	0	3.83333333	342.012018	0.355289458	0.770665268	9.28896078	0.315075825
20161108	1	3.41666667	334.718379	0.280894775	0.611666895	9.05719835	0.411882539
20161108	2	3.66666667	337.455012	0.24593815	0.577060616	8.70130323	0.386307065
20161108	3	3.5	341.342845	0.42173179	0.531482277	8.54608924	0.347662673
20161108	4	3.08333333	335.779855	0.25199562	0.838242324	10.9558813	-0.206359258
20161108	5	2.5	352.070671	0.101287681	0.574962319	8.44053021	0.650057357
20161108	6	2.33333333	333.558026	0.243332185	0.902022827	8.59847509	0.143414267
20161108	7	2.33333333	351.596358	0.112204457	0.771963449	9.01180562	0
20161108	8	1.41666667	28.9019355	0.06537462	0.635513898	11.0550311	0
20161108	9	1.66666667	39.3460685	0.097377987	0.590857223	12.6912409	0
20161108	10	2	355.653688	0.138585158	0.55286853	12.64417	0
20161108	11	2.16666667	349.749042	0.228108087	0.407122716	12.2678	0.345222341
20161108	12	2	28.6551162	0.110299984	0.207580897	12.4138099	0.528058694
20161108	13	2.33333333	77.5639645	0.095218563	0.293129349	9.94714341	0.447409671
20161108	14	2.41666667	106.092021	0.234318588	0.419344744	12.8952872	0
20161108	15	2.16666667	106.425822	0.233311802	0.238012294	15.1636732	0
20161108	16	2.08333333	68.2930587	0.095366182	0.491652775	16.1499107	0
20161108	17	2.75	103.321221	0.708884754	0.452604774	15.2749045	0
20161108	18	3.66666667	109.641661	1.88090392	0.543782485	13.7061506	-0.307402584
20161108	19	4.08333333	131.045753	2.62993321	0.649530485	13.1394167	0.037552744
20161108	20	2.25	155.300327	2.45150197	0.888889061	12.7181121	-0.256956555
20161108	21	2.41666667	165.132414	1.80813518	0.439808107	11.4759701	0.079915314
20161108	22	2.25	219.644339	1.57751198	0.428409158	12.9836991	0
20161108	23	2	261.963905	1.9428317	0.382450705	10.2624165	-0.515067167
20161109	0	1.33333333	248.700209	1.93883545	0.499312499	9.00172968	-0.070565877
20161109	1	1.5	241.421034	2.11804933	0.360236581	9.97227044	-0.523654181
20161109	2	1.16666667	226.096584	2.47332828	0.310580748	9.34561857	-0.502776185
20161109	3	1.08333333	208.897878	2.11323167	0.3365847	8.50391414	-0.749199081
20161109	4	1.33333333	202.368742	1.74205769	0.303225577	9.18393162	-0.385683134
20161109	5	1.08333333	194.38293	1.50763093	0.490243076	9.18814538	-0.445397987
20161109	6	1.33333333	179.425343	1.62392505	0.469240499	9.9148871	0.125651216
