scenario  |  n_days, n_intervals  |  n_trans, n_summer, n_winter:    

 #  |days,intv| nt,ns,nw  | 
    |         |  
 1  |   1, 3  |  1, 1, 1  | 
 2  |   7, 3  |  1, 1, 1  |  3 intervals
 3  |  14, 3  |  1, 1, 1  |
--------------------------|--------------
 4  |   1, 4  |  2, 1, 1  |  
 5  |   7, 4  |  2, 1, 1  |  4 intervals
 6  |  14, 4  |  2, 1, 1  |
 7  |   1, 4  |  2, 2, 0  |
 8  |   7, 4  |  2, 2, 0  |
 9  |  14, 4  |  2, 2, 0  |
10  |   1, 4  |  3, 1, 0  |
11  |   7, 4  |  3, 1, 0  |
12  |  14, 4  |  3, 1, 0  |
--------------------------|--------------
13  |   1, 6  |  2, 2, 2  |
14  |   7, 6  |  2, 2, 2  |  6 intervals
15  |  14, 6  |  2, 2, 2  |
16  |   1, 6  |  3, 2, 1  |
17  |   7, 6  |  3, 2, 1  |
18  |  14, 6  |  3, 2, 1  |
19  |   1, 6  |  4, 1, 1  |
20  |   7, 6  |  4, 1, 1  |
21  |  14, 6  |  4, 1, 1  |
22  |   1, 6  |  4, 2, 0  |
23  |   7, 6  |  4, 2, 0  |
24  |  14, 6  |  4, 2, 0  |
25  |   1, 6  |  5, 1, 0  |
26  |   7, 6  |  5, 1, 0  |
27  |  14, 6  |  5, 1, 0  |

